1.728 , 0.244 , 0.126 , 0.12  
1.6416, 0.244 , 0.126 , 0.12  
1.5552, 0.244 , 0.126 , 0.12  
1.4688, 0.244 , 0.126 , 0.12  
1.3824, 0.244 , 0.126 , 0.12  
1.296 , 0.244 , 0.126 , 0.12  
1.2096, 0.244 , 0.126 , 0.12  
1.1232, 0.244 , 0.126 , 0.12  
1.0368, 0.244 , 0.126 , 0.12  
0.9504, 0.244 , 0.126 , 0.12  
0.864 , 0.244 , 0.126 , 0.12  
0.7776, 0.244 , 0.126 , 0.12  
0.6912, 0.244 , 0.126 , 0.12  
0.6048, 0.244 , 0.126 , 0.12  
0.5184, 0.244 , 0.126 , 0.12  
0.432 , 0.244 , 0.126 , 0.12  
0.3456, 0.244 , 0.126 , 0.12  
0.2592, 0.244 , 0.126 , 0.12  
0.1728, 0.244 , 0.126 , 0.12  
0.0864, 0.244 , 0.126 , 0.12  
0.864 , 0.488 , 0.126 , 0.12  
0.864 , 0.4636, 0.126 , 0.12  
0.864 , 0.4392, 0.126 , 0.12  
0.864 , 0.4148, 0.126 , 0.12  
0.864 , 0.3904, 0.126 , 0.12  
0.864 , 0.366 , 0.126 , 0.12  
0.864 , 0.3416, 0.126 , 0.12  
0.864 , 0.3172, 0.126 , 0.12  
0.864 , 0.2928, 0.126 , 0.12  
0.864 , 0.2684, 0.126 , 0.12  
0.864 , 0.244 , 0.126 , 0.12  
0.864 , 0.2196, 0.126 , 0.12  
0.864 , 0.1952, 0.126 , 0.12  
0.864 , 0.1708, 0.126 , 0.12  
0.864 , 0.1464, 0.126 , 0.12  
0.864 , 0.122 , 0.126 , 0.12  
0.864 , 0.0976, 0.126 , 0.12  
0.864 , 0.0732, 0.126 , 0.12  
0.864 , 0.0488, 0.126 , 0.12  
0.864 , 0.0244, 0.126 , 0.12  
0.864 , 0.244 , 0.252 , 0.12  
0.864 , 0.244 , 0.2394, 0.12  
0.864 , 0.244 , 0.2268, 0.12  
0.864 , 0.244 , 0.2142, 0.12  
0.864 , 0.244 , 0.2016, 0.12  
0.864 , 0.244 , 0.189 , 0.12  
0.864 , 0.244 , 0.1764, 0.12  
0.864 , 0.244 , 0.1638, 0.12  
0.864 , 0.244 , 0.1512, 0.12  
0.864 , 0.244 , 0.1386, 0.12  
0.864 , 0.244 , 0.126 , 0.12  
0.864 , 0.244 , 0.1134, 0.12  
0.864 , 0.244 , 0.1008, 0.12  
0.864 , 0.244 , 0.0882, 0.12  
0.864 , 0.244 , 0.0756, 0.12  
0.864 , 0.244 , 0.063 , 0.12  
0.864 , 0.244 , 0.0504, 0.12  
0.864 , 0.244 , 0.0378, 0.12  
0.864 , 0.244 , 0.0252, 0.12  
0.864 , 0.244 , 0.0126, 0.12  
0.864 , 0.244 , 0.126 , 0.24  
0.864 , 0.244 , 0.126 , 0.228 
0.864 , 0.244 , 0.126 , 0.216 
0.864 , 0.244 , 0.126 , 0.204 
0.864 , 0.244 , 0.126 , 0.192 
0.864 , 0.244 , 0.126 , 0.18  
0.864 , 0.244 , 0.126 , 0.168 
0.864 , 0.244 , 0.126 , 0.156 
0.864 , 0.244 , 0.126 , 0.144 
0.864 , 0.244 , 0.126 , 0.132 
0.864 , 0.244 , 0.126 , 0.12  
0.864 , 0.244 , 0.126 , 0.108 
0.864 , 0.244 , 0.126 , 0.096 
0.864 , 0.244 , 0.126 , 0.084 
0.864 , 0.244 , 0.126 , 0.072 
0.864 , 0.244 , 0.126 , 0.06  
0.864 , 0.244 , 0.126 , 0.048 
0.864 , 0.244 , 0.126 , 0.036 
0.864 , 0.244 , 0.126 , 0.024 
0.864 , 0.244 , 0.126 , 0.012 
